Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
7,75951562599,9997,4,32,22,404.29,404.29,7.0,1,2018-04-01
10,91589091699,9994,4,32,22,24.16,24.16,1.0,1,2018-04-01
9,44311294199,9991,2,38,24,114.14,114.14,4.0,1,2018-04-02
2,19302247699,9986,1,34,22,18.26,18.26,1.0,1,2018-04-02
3,8694598599,9993,4,32,22,31.94,31.94,1.0,1,2018-04-03
10,48219264099,9994,4,32,22,24.16,24.16,1.0,1,2018-04-03
7,31274556699,9991,2,38,24,114.14,114.14,4.0,1,2018-04-04
9,1486109099,9997,4,32,22,57.76,57.76,1.0,1,2018-04-04
8,28342384899,9998,5,32,22,38.16,37.16,1.0,1,2018-04-04
6,32800870099,9985,1,34,22,39.42,39.42,1.0,1,2018-04-05
6,55827754899,9995,4,32,22,181.97,181.97,4.0,5,2018-04-05
3,62999140399,9989,2,38,24,56.46,56.46,1.0,1,2018-04-06
9,71582711699,9985,1,34,22,39.42,39.42,1.0,1,2018-04-07
1,75951562599,9990,2,38,24,15.34,15.34,1.0,1,2018-04-07
1,82364801499,9994,4,32,22,24.16,24.16,1.0,1,2018-04-08
6,14379876899,9991,2,38,24,28.54,28.54,1.0,1,2018-04-08
9,59681386599,9985,1,34,22,78.84,78.84,2.0,5,2018-04-09
4,19302247699,9985,1,34,22,39.42,39.42,1.0,1,2018-04-09
1,66427326499,10000,5,32,22,46.5,45.5,1.0,1,2018-04-09
1,65664932099,9997,4,32,22,57.76,57.76,1.0,1,2018-04-09
6,14379876899,9991,2,38,24,28.54,28.54,1.0,5,2018-04-10
10,72449987899,9991,2,38,24,28.54,28.54,1.0,1,2018-04-10
1,48437596099,9992,3,34,22,36.41,34.41,1.0,1,2018-04-10
6,94365889499,9994,4,32,22,72.47,72.47,3.0,1,2018-04-11
10,40804109399,9987,2,38,24,34.5,34.5,1.0,5,2018-04-11
7,71582711699,9993,4,32,22,31.94,31.94,1.0,1,2018-04-11
10,79838582699,9995,4,32,22,45.49,45.49,1.0,1,2018-04-11
4,26506134899,9996,4,32,22,217.58,217.58,4.0,3,2018-04-11
2,59301418999,9992,3,34,22,36.41,34.41,1.0,1,2018-04-12
4,44311294199,9997,4,32,22,115.51,115.51,2.0,1,2018-04-13
9,88367561299,9996,4,32,22,217.58,217.58,4.0,1,2018-04-14
6,25646559499,9996,4,32,22,54.4,54.4,1.0,1,2018-04-14
8,96338712999,9998,5,32,22,38.16,37.16,1.0,1,2018-04-14
8,79903631099,9996,4,32,22,54.4,54.4,1.0,1,2018-04-15
2,62999140399,9989,2,38,24,56.46,56.46,1.0,5,2018-04-15
9,14374117099,9998,5,32,22,38.16,37.16,1.0,1,2018-04-15
4,25929476999,9988,2,38,24,125.64,125.64,3.0,1,2018-04-15
3,11216669699,9990,2,38,24,15.34,15.34,1.0,1,2018-04-16
5,55827754899,9999,5,32,22,25.91,25.91,1.0,1,2018-04-16
6,66812863699,9992,3,34,22,36.41,34.41,1.0,1,2018-04-17
7,48437596099,9988,2,38,24,41.88,41.88,1.0,1,2018-04-17
4,30624301299,9999,5,32,22,181.36,181.36,7.0,1,2018-04-17
5,19302247699,9995,4,32,22,181.97,181.97,4.0,1,2018-04-18
4,11216669699,9997,4,32,22,57.76,57.76,1.0,1,2018-04-19
7,97820077399,9992,3,34,22,36.41,34.41,1.0,1,2018-04-19
7,72449987899,9985,1,34,22,275.94,275.94,7.0,3,2018-04-20
1,84237647199,9987,2,38,24,34.5,34.5,1.0,1,2018-04-20
