Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
1,27924459899,9986,1,34,22,73.06,73.06,4.0,1,2018-01-02
5,66736159399,9994,4,32,22,24.16,24.16,1.0,1,2018-01-02
7,66736159399,9997,4,32,22,57.76,57.76,1.0,1,2018-01-02
2,59681386599,9992,3,34,22,72.82,68.82,2.0,1,2018-01-04
10,65801188599,9994,4,32,22,24.16,24.16,1.0,1,2018-01-04
9,88367561299,9998,5,32,22,38.16,37.16,1.0,1,2018-01-04
3,78728477699,9996,4,32,22,380.77,380.77,7.0,1,2018-01-04
6,14374117099,9985,1,34,22,39.42,39.42,1.0,1,2018-01-05
10,44777928599,9998,5,32,22,38.16,37.16,1.0,1,2018-01-05
2,66812863699,9988,2,38,24,41.88,41.88,1.0,1,2018-01-05
4,79838582699,9998,5,32,22,38.16,37.16,1.0,1,2018-01-06
6,40606096099,9988,2,38,24,41.88,41.88,1.0,1,2018-01-07
8,79838582699,10000,5,32,22,46.5,45.5,1.0,1,2018-01-07
9,13930565999,9987,2,38,24,34.5,34.5,1.0,3,2018-01-08
4,1486109099,9999,5,32,22,25.91,25.91,1.0,1,2018-01-09
5,99470078299,9986,1,34,22,18.26,18.26,1.0,1,2018-01-09
10,94365889499,9989,2,38,24,395.22,395.22,7.0,1,2018-01-10
10,75304280399,9993,4,32,22,31.94,31.94,1.0,1,2018-01-10
6,97820077399,9997,4,32,22,57.76,57.76,1.0,1,2018-01-10
4,34759040699,9986,1,34,22,18.26,18.26,1.0,1,2018-01-11
10,65801188599,9987,2,38,24,34.5,34.5,1.0,1,2018-01-11
9,71548768099,9992,3,34,22,254.86,240.86,7.0,1,2018-01-12
1,25929476999,9995,4,32,22,45.49,45.49,1.0,1,2018-01-12
4,75951562599,10000,5,32,22,46.5,45.5,1.0,1,2018-01-12
4,32819586299,9989,2,38,24,56.46,56.46,1.0,1,2018-01-12
1,85567458499,9997,4,32,22,57.76,57.76,1.0,1,2018-01-13
4,14374117099,9990,2,38,24,15.34,15.34,1.0,1,2018-01-13
1,26496615699,9995,4,32,22,45.49,45.49,1.0,1,2018-01-13
3,32800870099,10000,5,32,22,46.5,45.5,1.0,1,2018-01-13
8,85567458499,9985,1,34,22,39.42,39.42,1.0,3,2018-01-14
4,58929958299,9995,4,32,22,45.49,45.49,1.0,1,2018-01-14
8,66812863699,9999,5,32,22,25.91,25.91,1.0,1,2018-01-15
2,99355627099,9994,4,32,22,24.16,24.16,1.0,1,2018-01-15
3,30624301299,9986,1,34,22,18.26,18.26,1.0,1,2018-01-16
10,8694598599,9995,4,32,22,45.49,45.49,1.0,1,2018-01-16
7,98553018699,9998,5,32,22,38.16,37.16,1.0,1,2018-01-16
6,66427326499,10000,5,32,22,46.5,45.5,1.0,1,2018-01-17
4,26506134899,10000,5,32,22,46.5,45.5,1.0,1,2018-01-17
10,26506134899,9988,2,38,24,41.88,41.88,1.0,3,2018-01-18
5,16961933299,9986,1,34,22,18.26,18.26,1.0,1,2018-01-18
9,79903631099,10000,5,32,22,46.5,45.5,1.0,1,2018-01-19
4,66812863699,9992,3,34,22,36.41,34.41,1.0,1,2018-01-19
1,22976009399,9988,2,38,24,41.88,41.88,1.0,1,2018-01-19
6,66812863699,9995,4,32,22,45.49,45.49,1.0,1,2018-01-19
4,99470078299,9991,2,38,24,28.54,28.54,1.0,1,2018-01-20
4,66812863699,9995,4,32,22,45.49,45.49,1.0,1,2018-01-21
10,88367561299,9989,2,38,24,56.46,56.46,1.0,1,2018-01-21
10,71582711699,9999,5,32,22,25.91,25.91,1.0,1,2018-01-22
10,88367561299,9996,4,32,22,108.79,108.79,2.0,1,2018-01-22
10,75304280399,10000,5,32,22,46.5,45.5,1.0,1,2018-01-24
2,32800870099,9997,4,32,22,404.29,404.29,7.0,1,2018-01-24
7,66812863699,9988,2,38,24,41.88,41.88,1.0,1,2018-01-24
9,8694598599,9987,2,38,24,34.5,34.5,1.0,1,2018-01-24
6,38483897399,9995,4,32,22,45.49,45.49,1.0,1,2018-01-24
5,69235107099,9987,2,38,24,34.5,34.5,1.0,1,2018-01-24
1,62999140399,9993,4,32,22,31.94,31.94,1.0,1,2018-01-24
7,88367561299,9989,2,38,24,56.46,56.46,1.0,1,2018-01-25
8,27924459899,9995,4,32,22,45.49,45.49,1.0,1,2018-01-25
8,30624301299,9994,4,32,22,24.16,24.16,1.0,1,2018-01-27
9,82364801499,9995,4,32,22,45.49,45.49,1.0,5,2018-01-27
6,66736159399,9992,3,34,22,36.41,34.41,1.0,1,2018-01-28
3,40804109399,9985,1,34,22,39.42,39.42,1.0,1,2018-01-28
6,47209937199,9991,2,38,24,28.54,28.54,1.0,1,2018-01-28
4,71582711699,9998,5,32,22,38.16,37.16,1.0,1,2018-01-28
7,16961933299,9999,5,32,22,25.91,25.91,1.0,1,2018-01-29
2,98553018699,9998,5,32,22,152.64,148.64,4.0,3,2018-01-29
4,88367561299,9992,3,34,22,36.41,34.41,1.0,1,2018-01-29
6,75304280399,9985,1,34,22,118.26,118.26,3.0,1,2018-01-29
9,59681386599,9996,4,32,22,54.4,54.4,1.0,3,2018-01-30
8,27924459899,9986,1,34,22,18.26,18.26,1.0,1,2018-01-31
5,69235107099,10000,5,32,22,46.5,45.5,1.0,1,2018-01-31
6,12250261099,9988,2,38,24,41.88,41.88,1.0,1,2018-02-01
