Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
3,16961933299,9985,1,34,22,39.42,39.42,1,1,2017-07-01
9,73276427999,9993,4,32,22,31.94,31.94,1,1,2017-07-01
3,59301418999,9994,4,32,22,24.16,24.16,1,1,2017-07-01
9,12250261099,9985,1,34,22,39.42,39.42,1,1,2017-07-01
9,58929958299,10000,5,32,22,46.5,45.5,1,1,2017-07-02
6,12250261099,9989,2,38,24,169.38,169.38,3,1,2017-07-03
7,8694598599,9999,5,32,22,25.91,25.91,1,1,2017-07-03
2,72449987899,9987,2,38,24,103.5,103.5,3,1,2017-07-04
5,65801188599,9992,3,34,22,36.41,34.41,1,1,2017-07-04
9,99470078299,9997,4,32,22,115.51,115.51,2,1,2017-07-04
3,85567458499,9999,5,32,22,25.91,25.91,1,1,2017-07-05
2,91589091699,9999,5,32,22,25.91,25.91,1,1,2017-07-05
3,71582711699,9994,4,32,22,169.09,169.09,7,1,2017-07-05
2,11216669699,9989,2,38,24,56.46,56.46,1,1,2017-07-07
6,78728477699,9995,4,32,22,45.49,45.49,1,1,2017-07-07
2,44777928599,9992,3,34,22,72.82,68.82,2,1,2017-07-07
5,98553018699,9991,2,38,24,28.54,28.54,1,1,2017-07-07
9,48437596099,9993,4,32,22,63.89,63.89,2,3,2017-07-08
3,16961933299,9992,3,34,22,36.41,34.41,1,5,2017-07-09
3,85567458499,9990,2,38,24,15.34,15.34,1,1,2017-07-10
7,99355627099,9994,4,32,22,169.09,169.09,7,1,2017-07-10
2,48437596099,9989,2,38,24,56.46,56.46,1,3,2017-07-11
10,66736159399,9986,1,34,22,73.06,73.06,4,1,2017-07-11
2,30624301299,9989,2,38,24,56.46,56.46,1,1,2017-07-11
2,14379876899,9998,5,32,22,38.16,37.16,1,1,2017-07-12
3,40804109399,9993,4,32,22,31.94,31.94,1,1,2017-07-12
6,66812863699,9996,4,32,22,54.4,54.4,1,1,2017-07-13
5,14374117099,9992,3,34,22,36.41,34.41,1,1,2017-07-13
7,97820077399,9994,4,32,22,24.16,24.16,1,1,2017-07-13
5,30624301299,9994,4,32,22,24.16,24.16,1,3,2017-07-14
9,59681386599,9993,4,32,22,31.94,31.94,1,1,2017-07-14
2,78728477699,9991,2,38,24,28.54,28.54,1,1,2017-07-14
6,75951562599,9996,4,32,22,163.19,163.19,3,1,2017-07-14
9,22976009399,9993,4,32,22,31.94,31.94,1,1,2017-07-14
9,79903631099,9986,1,34,22,127.85,127.85,7,1,2017-07-15
10,71548768099,9994,4,32,22,24.16,24.16,1,1,2017-07-15
6,69235107099,9995,4,32,22,45.49,45.49,1,1,2017-07-15
7,78973681999,9998,5,32,22,38.16,37.16,1,1,2017-07-15
10,79903631099,9991,2,38,24,28.54,28.54,1,1,2017-07-15
7,66736159399,9989,2,38,24,56.46,56.46,1,5,2017-07-16
3,78973681999,10000,5,32,22,46.5,45.5,1,1,2017-07-16
3,82364801499,9989,2,38,24,56.46,56.46,1,1,2017-07-17
1,78973681999,9996,4,32,22,54.4,54.4,1,1,2017-07-18
4,62999140399,9985,1,34,22,39.42,39.42,1,1,2017-07-18
1,14374117099,9996,4,32,22,54.4,54.4,1,1,2017-07-20
7,88367561299,9993,4,32,22,31.94,31.94,1,1,2017-07-20
3,58929958299,9999,5,32,22,103.63,103.63,4,1,2017-07-20
4,66588777799,9986,1,34,22,54.79,54.79,3,1,2017-07-20
4,99470078299,9989,2,38,24,56.46,56.46,1,1,2017-07-20
6,82364801499,9993,4,32,22,31.94,31.94,1,1,2017-07-21
2,94365889499,9993,4,32,22,127.78,127.78,4,1,2017-07-21
5,97820077399,9996,4,32,22,54.4,54.4,1,1,2017-07-22
6,43966876099,9985,1,34,22,78.84,78.84,2,1,2017-07-23
3,8694598599,9989,2,38,24,56.46,56.46,1,1,2017-07-24
2,98553018699,9998,5,32,22,38.16,37.16,1,1,2017-07-24
10,6233952299,9999,5,32,22,77.72,77.72,3,1,2017-07-24
7,79838582699,9985,1,34,22,39.42,39.42,1,1,2017-07-26
4,62999140399,9996,4,32,22,54.4,54.4,1,1,2017-07-27
9,40804109399,9998,5,32,22,38.16,37.16,1,1,2017-07-28
6,13930565999,9998,5,32,22,38.16,37.16,1,1,2017-07-29
8,34759040699,9997,4,32,22,231.02,231.02,4,1,2017-07-29
4,69235107099,9993,4,32,22,31.94,31.94,1,1,2017-07-29
10,84237647199,9992,3,34,22,36.41,34.41,1,1,2017-07-29
1,99470078299,9996,4,32,22,54.4,54.4,1,1,2017-07-30
6,98553018699,9987,2,38,24,138.0,138.0,4,1,2017-07-30
5,32800870099,9990,2,38,24,15.34,15.34,1,1,2017-07-30
5,91902775799,9989,2,38,24,56.46,56.46,1,1,2017-07-30
9,27924459899,9996,4,32,22,380.77,380.77,7,1,2017-08-01
