Store,CardID,EAN,Category,MedType,SW2Key,Revenue,RevenueInc.,Qty,TransactionType,BookingDate
6,58994904699,9985,1,34,22,39.42,39.42,1,1,2017-05-01
4,65801188599,9988,2,38,24,41.88,41.88,1,1,2017-05-01
1,48219264099,9999,5,32,22,181.36,181.36,7,1,2017-05-01
10,31274556699,9991,2,38,24,28.54,28.54,1,1,2017-05-03
4,27924459899,9994,4,32,22,96.62,96.62,4,1,2017-05-03
4,49492115699,9995,4,32,22,45.49,45.49,1,1,2017-05-03
9,9502970899,9985,1,34,22,39.42,39.42,1,1,2017-05-03
2,12250261099,9989,2,38,24,56.46,56.46,1,1,2017-05-04
8,82364801499,9991,2,38,24,28.54,28.54,1,1,2017-05-04
2,79903631099,9999,5,32,22,77.72,77.72,3,1,2017-05-05
4,66736159399,10000,5,32,22,46.5,45.5,1,1,2017-05-05
10,94365889499,9987,2,38,24,34.5,34.5,1,1,2017-05-06
8,32800870099,9996,4,32,22,163.19,163.19,3,1,2017-05-06
4,71754214299,9998,5,32,22,38.16,37.16,1,1,2017-05-07
9,44777928599,9987,2,38,24,34.5,34.5,1,1,2017-05-07
2,99355627099,9995,4,32,22,45.49,45.49,1,1,2017-05-07
9,58994904699,9998,5,32,22,38.16,37.16,1,1,2017-05-07
1,1486109099,9985,1,34,22,39.42,39.42,1,1,2017-05-07
3,34759040699,9985,1,34,22,39.42,39.42,1,1,2017-05-08
1,71548768099,9991,2,38,24,85.61,85.61,3,1,2017-05-08
8,66812863699,9990,2,38,24,15.34,15.34,1,1,2017-05-08
2,22976009399,9993,4,32,22,31.94,31.94,1,1,2017-05-09
10,19302247699,9992,3,34,22,109.22,103.22,3,1,2017-05-09
4,8694598599,9994,4,32,22,24.16,24.16,1,3,2017-05-09
1,66812863699,9994,4,32,22,24.16,24.16,1,1,2017-05-09
6,14374117099,9985,1,34,22,118.26,118.26,3,1,2017-05-10
9,14374117099,9992,3,34,22,36.41,34.41,1,1,2017-05-10
4,55827754899,9994,4,32,22,24.16,24.16,1,5,2017-05-10
6,26496615699,9988,2,38,24,41.88,41.88,1,1,2017-05-10
9,71548768099,9995,4,32,22,136.48,136.48,3,1,2017-05-10
4,71754214299,9996,4,32,22,217.58,217.58,4,1,2017-05-11
4,71582711699,9987,2,38,24,34.5,34.5,1,1,2017-05-11
9,26506134899,9987,2,38,24,34.5,34.5,1,1,2017-05-11
4,78973681999,9986,1,34,22,18.26,18.26,1,1,2017-05-12
2,13930565999,9986,1,34,22,18.26,18.26,1,1,2017-05-12
8,9502970899,9987,2,38,24,34.5,34.5,1,1,2017-05-12
4,44317763699,9993,4,32,22,31.94,31.94,1,1,2017-05-12
1,12250261099,9998,5,32,22,38.16,37.16,1,1,2017-05-13
9,48219264099,9995,4,32,22,45.49,45.49,1,1,2017-05-14
9,58994904699,9985,1,34,22,39.42,39.42,1,1,2017-05-14
9,49492115699,9997,4,32,22,57.76,57.76,1,1,2017-05-15
4,59681386599,9992,3,34,22,145.63,137.63,4,1,2017-05-15
1,38483897399,9989,2,38,24,56.46,56.46,1,1,2017-05-15
5,85567458499,9993,4,32,22,31.94,31.94,1,1,2017-05-15
5,88367561299,9990,2,38,24,15.34,15.34,1,3,2017-05-17
5,65664932099,9986,1,34,22,18.26,18.26,1,1,2017-05-19
4,14374117099,9998,5,32,22,267.12,260.12,7,1,2017-05-20
1,12250261099,9994,4,32,22,24.16,24.16,1,1,2017-05-20
2,13930565999,9995,4,32,22,45.49,45.49,1,1,2017-05-20
6,49492115699,9999,5,32,22,25.91,25.91,1,3,2017-05-21
7,65664932099,9994,4,32,22,24.16,24.16,1,1,2017-05-21
10,22976009399,9986,1,34,22,18.26,18.26,1,1,2017-05-21
4,71754214299,9995,4,32,22,45.49,45.49,1,1,2017-05-22
5,28342384899,9998,5,32,22,38.16,37.16,1,1,2017-05-23
1,71548768099,9994,4,32,22,24.16,24.16,1,1,2017-05-24
8,51316220799,9999,5,32,22,25.91,25.91,1,1,2017-05-24
9,14379876899,9990,2,38,24,15.34,15.34,1,3,2017-05-24
1,26506134899,9998,5,32,22,38.16,37.16,1,1,2017-05-25
3,25929476999,9992,3,34,22,36.41,34.41,1,1,2017-05-25
5,99355627099,9988,2,38,24,41.88,41.88,1,5,2017-05-26
4,6233952299,9997,4,32,22,57.76,57.76,1,1,2017-05-26
6,79903631099,9998,5,32,22,152.64,148.64,4,1,2017-05-27
7,71548768099,9987,2,38,24,34.5,34.5,1,1,2017-05-27
3,49492115699,9995,4,32,22,45.49,45.49,1,1,2017-05-27
9,55827754899,9991,2,38,24,28.54,28.54,1,3,2017-05-28
5,6233952299,9987,2,38,24,34.5,34.5,1,1,2017-05-28
9,14379876899,9988,2,38,24,41.88,41.88,1,1,2017-05-29
8,8694598599,9985,1,34,22,39.42,39.42,1,1,2017-05-29
9,65801188599,9996,4,32,22,54.4,54.4,1,1,2017-05-30
6,62999140399,9990,2,38,24,15.34,15.34,1,1,2017-05-30
2,25646559499,9986,1,34,22,18.26,18.26,1,1,2017-05-31
2,13930565999,9994,4,32,22,24.16,24.16,1,1,2017-05-31
9,84237647199,9991,2,38,24,28.54,28.54,1,1,2017-06-01
9,55827754899,9995,4,32,22,45.49,45.49,1,5,2017-06-01
5,99470078299,9989,2,38,24,56.46,56.46,1,5,2017-06-02
1,16961933299,10000,5,32,22,46.5,45.5,1,1,2017-06-02
1,92644824299,9991,2,38,24,28.54,28.54,1,1,2017-06-02
9,47209937199,9993,4,32,22,31.94,31.94,1,1,2017-06-02
1,65801188599,9999,5,32,22,25.91,25.91,1,1,2017-06-03
5,94365889499,9999,5,32,22,25.91,25.91,1,1,2017-06-03
4,84237647199,9989,2,38,24,56.46,56.46,1,1,2017-06-03
5,13930565999,10000,5,32,22,46.5,45.5,1,1,2017-06-03
3,22976009399,9997,4,32,22,57.76,57.76,1,1,2017-06-03
9,47209937199,9991,2,38,24,28.54,28.54,1,3,2017-06-04
1,66588777799,9997,4,32,22,57.76,57.76,1,1,2017-06-04
9,58929958299,9989,2,38,24,56.46,56.46,1,1,2017-06-05
9,99470078299,9996,4,32,22,54.4,54.4,1,1,2017-06-05
4,84237647199,9999,5,32,22,25.91,25.91,1,1,2017-06-05
4,22976009399,9985,1,34,22,39.42,39.42,1,1,2017-06-05
5,88367561299,9987,2,38,24,34.5,34.5,1,1,2017-06-06
2,79903631099,9988,2,38,24,41.88,41.88,1,1,2017-06-06
8,38483897399,9986,1,34,22,18.26,18.26,1,1,2017-06-07
4,26496615699,9995,4,32,22,136.48,136.48,3,3,2017-06-07
4,71548768099,9989,2,38,24,56.46,56.46,1,1,2017-06-07
3,59681386599,9997,4,32,22,115.51,115.51,2,1,2017-06-08
6,94365889499,9989,2,38,24,56.46,56.46,1,3,2017-06-08
10,32800870099,9989,2,38,24,56.46,56.46,1,1,2017-06-09
5,66736159399,9995,4,32,22,45.49,45.49,1,1,2017-06-10
8,75951562599,9986,1,34,22,18.26,18.26,1,1,2017-06-10
7,71582711699,9990,2,38,24,15.34,15.34,1,1,2017-06-10
4,49492115699,9989,2,38,24,169.38,169.38,3,1,2017-06-10
7,26506134899,9986,1,34,22,18.26,18.26,1,3,2017-06-11
7,71548768099,9999,5,32,22,25.91,25.91,1,1,2017-06-11
4,71548768099,9986,1,34,22,18.26,18.26,1,1,2017-06-11
10,99470078299,9991,2,38,24,28.54,28.54,1,1,2017-06-13
9,78973681999,9987,2,38,24,34.5,34.5,1,1,2017-06-13
8,88367561299,9991,2,38,24,28.54,28.54,1,1,2017-06-14
4,44777928599,9991,2,38,24,28.54,28.54,1,1,2017-06-14
3,1486109099,9988,2,38,24,41.88,41.88,1,1,2017-06-14
6,14374117099,9989,2,38,24,56.46,56.46,1,1,2017-06-14
5,51316220799,9986,1,34,22,18.26,18.26,1,1,2017-06-16
5,22976009399,9992,3,34,22,36.41,34.41,1,1,2017-06-17
2,59301418999,9994,4,32,22,24.16,24.16,1,1,2017-06-18
4,91902775799,9999,5,32,22,25.91,25.91,1,1,2017-06-18
2,51316220799,9987,2,38,24,34.5,34.5,1,1,2017-06-19
7,14379876899,9991,2,38,24,28.54,28.54,1,1,2017-06-19
6,76954778599,9986,1,34,22,18.26,18.26,1,1,2017-06-20
5,76954778599,9992,3,34,22,36.41,34.41,1,3,2017-06-20
10,71548768099,9995,4,32,22,45.49,45.49,1,5,2017-06-21
8,12250261099,9989,2,38,24,56.46,56.46,1,1,2017-06-21
5,44777928599,9995,4,32,22,45.49,45.49,1,1,2017-06-21
5,38483897399,9986,1,34,22,18.26,18.26,1,1,2017-06-22
9,59681386599,9990,2,38,24,15.34,15.34,1,1,2017-06-23
7,66812863699,9987,2,38,24,34.5,34.5,1,1,2017-06-24
6,62999140399,9991,2,38,24,28.54,28.54,1,1,2017-06-24
9,98553018699,9991,2,38,24,28.54,28.54,1,1,2017-06-24
7,59681386599,9990,2,38,24,30.67,30.67,2,1,2017-06-26
4,78728477699,9991,2,38,24,28.54,28.54,1,1,2017-06-26
8,66588777799,9989,2,38,24,56.46,56.46,1,1,2017-06-27
5,75304280399,9986,1,34,22,18.26,18.26,1,1,2017-06-28
3,27924459899,10000,5,32,22,46.5,45.5,1,1,2017-06-28
9,1486109099,9987,2,38,24,34.5,34.5,1,1,2017-06-28
5,88367561299,9995,4,32,22,45.49,45.49,1,1,2017-06-28
7,79838582699,10000,5,32,22,139.5,136.5,3,1,2017-06-28
4,40804109399,9993,4,32,22,31.94,31.94,1,1,2017-06-29
8,88367561299,9985,1,34,22,39.42,39.42,1,1,2017-06-30
