01.07.2018	01:00:00	6	6233952299	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	01.07.2018
01.07.2018	02:00:00	1	66427326499	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	01.07.2018
02.07.2018	03:00:00	10	94365889499	9995	4	32	22	45,49	EUR	45,49	EUR	1,000	ST	1	02.07.2018
02.07.2018	04:00:00	6	91589091699	9994	4	32	22	48,31	EUR	48,31	EUR	2,000	ST	1	02.07.2018
02.07.2018	05:00:00	10	1486109099	10000	5	32	22	46,5	EUR	45,5	EUR	1,000	ST	1	02.07.2018
03.07.2018	06:00:00	1	40606096099	9986	1	34	22	18,26	EUR	18,26	EUR	1,000	ST	1	03.07.2018
03.07.2018	07:00:00	3	44311294199	9985	1	34	22	39,42	EUR	39,42	EUR	1,000	ST	1	03.07.2018
03.07.2018	08:00:00	5	1486109099	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	03.07.2018
03.07.2018	09:00:00	3	91589091699	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	03.07.2018
05.07.2018	10:00:00	7	88367561299	9986	1	34	22	127,85	EUR	127,85	EUR	7,000	ST	1	05.07.2018
05.07.2018	11:00:00	8	85973721499	9985	1	34	22	39,42	EUR	39,42	EUR	1,000	ST	1	05.07.2018
05.07.2018	12:00:00	3	71582711699	9994	4	32	22	24,16	EUR	24,16	EUR	1,000	ST	1	05.07.2018
06.07.2018	13:00:00	2	8694598599	9997	4	32	22	115,51	EUR	115,51	EUR	2,000	ST	1	06.07.2018
06.07.2018	14:00:00	5	40804109399	9998	5	32	22	152,64	EUR	148,64	EUR	4,000	ST	1	06.07.2018
06.07.2018	15:00:00	7	48219264099	9998	5	32	22	38,16	EUR	37,16	EUR	1,000	ST	1	06.07.2018
07.07.2018	16:00:00	8	25929476999	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	07.07.2018
07.07.2018	17:00:00	4	84237647199	9998	5	32	22	38,16	EUR	37,16	EUR	1,000	ST	1	07.07.2018
09.07.2018	18:00:00	1	32819586299	9995	4	32	22	318,44	EUR	318,44	EUR	7,000	ST	1	09.07.2018
09.07.2018	19:00:00	1	11216669699	9986	1	34	22	18,26	EUR	18,26	EUR	1,000	ST	1	09.07.2018
10.07.2018	20:00:00	5	78728477699	9998	5	32	22	152,64	EUR	148,64	EUR	4,000	ST	1	10.07.2018
10.07.2018	21:00:00	8	22976009399	9998	5	32	22	38,16	EUR	37,16	EUR	1,000	ST	1	10.07.2018
10.07.2018	22:00:00	4	11216669699	9988	2	38	24	41,88	EUR	41,88	EUR	1,000	ST	1	10.07.2018
11.07.2018	23:00:00	6	6233952299	9993	4	32	22	31,94	EUR	31,94	EUR	1,000	ST	1	11.07.2018
11.07.2018	00:00:00	4	47209937199	9986	1	34	22	36,53	EUR	36,53	EUR	2,000	ST	1	11.07.2018
11.07.2018	01:00:00	9	96338712999	9996	4	32	22	54,4	EUR	54,4	EUR	1,000	ST	1	11.07.2018
11.07.2018	02:00:00	4	1486109099	9996	4	32	22	54,4	EUR	54,4	EUR	1,000	ST	1	11.07.2018
12.07.2018	03:00:00	2	75304280399	9999	5	32	22	181,36	EUR	181,36	EUR	7,000	ST	1	12.07.2018
12.07.2018	04:00:00	5	28342384899	10000	5	32	22	46,5	EUR	45,5	EUR	1,000	ST	3	12.07.2018
12.07.2018	05:00:00	9	14379876899	9998	5	32	22	38,16	EUR	37,16	EUR	1,000	ST	1	12.07.2018
13.07.2018	06:00:00	9	58994904699	9997	4	32	22	57,76	EUR	57,76	EUR	1,000	ST	1	13.07.2018
13.07.2018	07:00:00	6	66736159399	10000	5	32	22	46,5	EUR	45,5	EUR	1,000	ST	1	13.07.2018
14.07.2018	08:00:00	9	44777928599	9989	2	38	24	56,46	EUR	56,46	EUR	1,000	ST	1	14.07.2018
14.07.2018	09:00:00	4	79903631099	9994	4	32	22	24,16	EUR	24,16	EUR	1,000	ST	1	14.07.2018
14.07.2018	10:00:00	6	59681386599	10000	5	32	22	46,5	EUR	45,5	EUR	1,000	ST	1	14.07.2018
14.07.2018	11:00:00	1	58929958299	9989	2	38	24	56,46	EUR	56,46	EUR	1,000	ST	1	14.07.2018
15.07.2018	12:00:00	10	43966876099	9995	4	32	22	45,49	EUR	45,49	EUR	1,000	ST	1	15.07.2018
15.07.2018	13:00:00	9	44777928599	9989	2	38	24	56,46	EUR	56,46	EUR	1,000	ST	1	15.07.2018
16.07.2018	14:00:00	10	14374117099	9996	4	32	22	54,4	EUR	54,4	EUR	1,000	ST	1	16.07.2018
16.07.2018	15:00:00	1	62999140399	9991	2	38	24	28,54	EUR	28,54	EUR	1,000	ST	1	16.07.2018
