CustID,CardID,BookingDate,Store,TransactionType,Revenue,RevenueInc.,Qty,Price/Article
1601060367199,59681386599,2017-05-15,4,1,145.63,137.63,4.0,36.41
1601060367199,59681386599,2017-06-08,3,1,115.51,115.51,2.0,57.76
1601060367199,59681386599,2017-06-23,9,1,15.34,15.34,1.0,15.34
1601060367199,59681386599,2017-06-26,7,1,30.67,30.67,2.0,15.34
1601060367199,59681386599,2017-07-14,9,1,31.94,31.94,1.0,31.94
1601060367199,59681386599,2017-08-04,8,1,24.16,24.16,1.0,24.16
1601060367199,59681386599,2017-09-06,8,1,36.41,34.41,1.0,36.41
1601060367199,59681386599,2017-09-10,3,1,28.54,28.54,1.0,28.54
1601060367199,59681386599,2017-09-24,3,1,69.0,69.0,2.0,34.5
1601060367199,59681386599,2017-10-12,8,1,34.5,34.5,1.0,34.5
1601060367199,59681386599,2017-11-10,5,1,36.41,34.41,1.0,36.41
1601060367199,59681386599,2017-11-30,3,1,28.54,28.54,1.0,28.54
1601060367199,59681386599,2017-12-16,10,1,46.5,45.5,1.0,46.5
1601060367199,59681386599,2018-01-04,2,1,72.82,68.82,2.0,36.41
1601060367199,59681386599,2018-01-30,9,3,54.4,54.4,1.0,54.4
1601060367199,59681386599,2018-02-04,2,1,28.54,28.54,1.0,28.54
1601060367199,59681386599,2018-02-04,8,1,57.76,57.76,1.0,57.76
1601060367199,59681386599,2018-02-16,9,1,24.16,24.16,1.0,24.16
1601060367199,59681386599,2018-02-18,7,1,45.49,45.49,1.0,45.49
1601060367199,59681386599,2018-02-24,4,1,56.46,56.46,1.0,56.46
1601060367199,59681386599,2018-02-28,6,1,36.41,34.41,1.0,36.41
1601060367199,59681386599,2018-03-21,3,1,36.41,34.41,1.0,36.41
1601060367199,59681386599,2018-04-28,2,1,38.16,37.16,1.0,38.16
1601060367199,59681386599,2018-06-18,6,1,46.01,46.01,3.0,15.34
1601060367199,59681386599,2018-06-21,6,1,46.5,45.5,1.0,46.5
1601060367199,59681386599,2018-06-25,7,1,24.16,24.16,1.0,24.16
1601060367199,59681386599,2018-07-14,6,1,46.5,45.5,1.0,46.5
1601060367199,59681386599,2018-07-21,7,1,225.84,225.84,4.0,56.46
1601060367199,59681386599,2018-07-31,5,1,31.94,31.94,1.0,31.94
1604011635399,55827754899,2017-05-28,9,3,28.54,28.54,1.0,28.54
1604011635399,55827754899,2017-08-24,1,1,39.42,39.42,1.0,39.42
1604011635399,55827754899,2017-08-25,8,1,41.88,41.88,1.0,41.88
1604011635399,55827754899,2017-10-10,1,1,127.85,127.85,7.0,18.26
1604011635399,55827754899,2017-11-30,6,1,46.5,45.5,1.0,46.5
1604011635399,55827754899,2018-03-10,10,1,25.91,25.91,1.0,25.91
1604011635399,55827754899,2018-04-16,5,1,25.91,25.91,1.0,25.91
1604011635399,55827754899,2018-07-18,2,1,24.16,24.16,1.0,24.16
1604121617999,75304280399,2017-06-28,5,1,18.26,18.26,1.0,18.26
1604121617999,75304280399,2017-08-08,6,1,54.4,54.4,1.0,54.4
1604121617999,75304280399,2017-09-19,10,1,54.4,54.4,1.0,54.4
1604121617999,75304280399,2017-11-11,9,1,28.54,28.54,1.0,28.54
1604121617999,75304280399,2017-12-11,7,1,36.41,34.41,1.0,36.41
1604121617999,75304280399,2017-12-19,9,1,56.46,56.46,1.0,56.46
1604121617999,75304280399,2018-01-10,10,1,31.94,31.94,1.0,31.94
1604121617999,75304280399,2018-01-24,10,1,46.5,45.5,1.0,46.5
1604121617999,75304280399,2018-01-29,6,1,118.26,118.26,3.0,39.42
1604121617999,75304280399,2018-06-16,8,3,25.91,25.91,1.0,25.91
1604121617999,75304280399,2018-07-12,2,1,181.36,181.36,7.0,25.91
1604121617999,75304280399,2018-07-22,5,1,31.94,31.94,1.0,31.94
1605041917999,44317763699,2017-05-12,4,1,31.94,31.94,1.0,31.94
1605041917999,44317763699,2017-10-03,1,1,24.16,24.16,1.0,24.16
1605041917999,44317763699,2017-10-28,1,1,41.88,41.88,1.0,41.88
1605041917999,44317763699,2017-12-14,1,1,57.76,57.76,1.0,57.76
1605041917999,44317763699,2017-12-30,1,1,56.46,56.46,1.0,56.46
1605041917999,44317763699,2018-02-12,10,1,31.94,31.94,1.0,31.94
1605041917999,44317763699,2018-03-08,1,1,24.16,24.16,1.0,24.16
1605041917999,44317763699,2018-06-27,4,1,39.42,39.42,1.0,39.42
1610010812799,71754214299,2017-05-07,4,1,38.16,37.16,1.0,38.16
1610010812799,71754214299,2017-05-11,4,1,217.58,217.58,4.0,54.4
1610010812799,71754214299,2017-05-22,4,1,45.49,45.49,1.0,45.49
1610010812799,71754214299,2017-10-18,2,1,34.5,34.5,1.0,34.5
1610010812799,71754214299,2017-10-29,10,1,57.76,57.76,1.0,57.76
1610010812799,71754214299,2018-02-11,10,1,57.76,57.76,1.0,57.76
1610010812799,71754214299,2018-02-27,9,3,57.76,57.76,1.0,57.76
1610010812799,71754214299,2018-03-22,7,1,41.88,41.88,1.0,41.88
1612012787599,27924459899,2017-05-03,4,1,96.62,96.62,4.0,24.16
1612012787599,27924459899,2017-06-28,3,1,46.5,45.5,1.0,46.5
1612012787599,27924459899,2017-08-01,9,1,380.77,380.77,7.0,54.4
1612012787599,27924459899,2017-09-30,5,1,93.0,91.0,2.0,46.5
1612012787599,27924459899,2017-10-05,3,1,18.26,18.26,1.0,18.26
1612012787599,27924459899,2017-10-09,10,1,46.5,45.5,1.0,46.5
1612012787599,27924459899,2017-11-11,1,1,72.82,68.82,2.0,36.41
1612012787599,27924459899,2018-01-02,1,1,73.06,73.06,4.0,18.26
1612012787599,27924459899,2018-01-25,8,1,45.49,45.49,1.0,45.49
1612012787599,27924459899,2018-01-31,8,1,18.26,18.26,1.0,18.26
1612012787599,27924459899,2018-02-21,10,1,24.16,24.16,1.0,24.16
1612012787599,27924459899,2018-03-05,5,1,61.34,61.34,4.0,15.34
1612012787599,27924459899,2018-04-30,9,1,25.91,25.91,1.0,25.91
1614101001599,82364801499,2017-05-04,8,1,28.54,28.54,1.0,28.54
1614101001599,82364801499,2017-07-17,3,1,56.46,56.46,1.0,56.46
1614101001599,82364801499,2017-07-21,6,1,31.94,31.94,1.0,31.94
1614101001599,82364801499,2017-08-02,9,1,31.94,31.94,1.0,31.94
1614101001599,82364801499,2017-09-03,9,1,125.64,125.64,3.0,41.88
1614101001599,82364801499,2017-09-19,6,1,45.49,45.49,1.0,45.49
1614101001599,82364801499,2017-10-28,7,1,152.64,148.64,4.0,38.16
1614101001599,82364801499,2017-12-21,3,1,38.16,37.16,1.0,38.16
1614101001599,82364801499,2018-02-13,1,1,56.46,56.46,1.0,56.46
1614101001599,82364801499,2018-03-14,9,1,18.26,18.26,1.0,18.26
1614101001599,82364801499,2018-04-08,1,1,24.16,24.16,1.0,24.16
1614101001599,82364801499,2018-06-14,8,1,57.76,57.76,1.0,57.76
1614102403899,48437596099,2017-07-08,9,3,63.89,63.89,2.0,31.94
1614102403899,48437596099,2017-07-11,2,3,56.46,56.46,1.0,56.46
1614102403899,48437596099,2018-03-09,4,1,39.42,39.42,1.0,39.42
1614102403899,48437596099,2018-04-10,1,1,36.41,34.41,1.0,36.41
1614102403899,48437596099,2018-04-17,7,1,41.88,41.88,1.0,41.88
1614102403899,48437596099,2018-06-02,7,1,25.91,25.91,1.0,25.91
1614102403899,48437596099,2018-06-17,7,1,380.77,380.77,7.0,54.4
1614102403899,48437596099,2018-06-22,1,1,34.5,34.5,1.0,34.5
1615030107699,58994904699,2017-05-01,6,1,39.42,39.42,1.0,39.42
1615030107699,58994904699,2017-05-07,9,1,38.16,37.16,1.0,38.16
1615030107699,58994904699,2017-05-14,9,1,39.42,39.42,1.0,39.42
